location,rooms,total_listings,latitude,longitude
Moisselles (95570),"3 chambres,1 salle de bain,1 salle d'eau",1,49.0554021,2.3521685
Moisson (78840),5 chambres,1,49.0530919,1.6125028
Moissy cramayel (77550),3,1,48.6185526,2.6430061
Moissy-cramayel (77550),12 chambres,2,48.6185526,2.6430061
Mondreville (77570),"4 chambres,Type  cuisine : Cuisine indépendante",1,48.1774585,2.6370517
Montdauphin (77320),0,1,48.7727993,3.2982261
Montereau fault yonne (77130),"2 chambres,1 salle de bain,1 toilettes séparées",1,48.3670139,3.042987
Montereau-fault-yonne (77130),"2 chambres,Cheminée2 chambres",3,48.3670139,3.042987
Montevrain (77144),2 chambres,1,48.8675425,2.7501566
Montfermeil (93370),5 chambres,1,48.8976985,2.5663873
Montgeron (91230),"3 chambres,Type  cuisine : Cuisine indépendante3 chambres",2,48.6951474,2.4597005
Montigny les cormeilles (95370),"3 chambres,1 salle de bain3 chambres",2,48.993399,2.1944223
Montigny-lès-cormeilles (95370),2 chambres,1,48.993399,2.1944223
Montigny-sur-loing (77690),5 chambres,1,48.324056,2.7519206
Montlhery (91310),1 chambre,1,48.6318506,2.2683684
Montlhéry (91310),"2 chambres,Type  cuisine : Cuisine séparée équipée5 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain,1 salle d'eau2 chambres,Type  cuisine : Cuisine indépendante,1 salle de bain1 chambre,Type  cuisine : Cuisine indépendante,1 salle d'eau6 chambres,Type  cuisine : Cuisine équipée,2 salles de bain,Cheminée",5,48.6318506,2.2683684
Montmorency (95160),3 chambres1 chambre,2,48.9920717,2.3246336
Montreuil (93100),"332 chambres1 chambre,1 salle de bain1 chambre2 chambres4 chambres5 chambres1 chambre,1 salle de bain2 chambres1 chambre",12,48.8637053,2.4557048
